Singapore,SGP,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0.3
Thailand,THA,10,6.6,7.3,7.1,6.7,6,5.5,5.4,4.9,4.9,4.2,3.9
Timor-Leste,,nan,2.3,4.5,4.7,5.8,3.2,2.9,3.5,nan,nan,nan,nan
Viet Nam,,1.3,1.3,1.2,1.2,1.4,1.3,1.4,1.5,1.5,nan,nan,nan
Afghanistan,AFG,nan,nan,nan,nan,nan,nan,4,3.4,4.1,6.3,nan,nan
Bangladesh,BGD,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,2.6,2.6,2.8,2.8
Bhutan,BTN,0.8,2.3,1.7,1.3,2,2.6,2.2,2.2,4.3,4.4,3.1,nan
India,IND,4,4.1,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7
Iran (Islamic Republic of),,2.6,2.9,nan,nan,nan,nan,3,nan,nan,nan,2.6,2.5
Maldives,MDV,1.3,nan,nan,nan,0.9,1.4,1.7,1.6,0.8,2.6,0.8,nan
Nepal,NPL,3,3.7,3.4,2.4,3.2,3.4,3,3,2.5,2.3,2.2,2
Pakistan,PAK,6.3,6.4,6.4,6.4,6.6,7.4,7.5,7.7,8,7.8,7.7,7.2
Sri Lanka*,,6.8,7.1,6.2,10.4,nan,10,5.5,3.8,3.6,3.3,3,2.7
Armenia,ARM,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5
Azerbaijan,AZE,2.2,2.4,2.2,2.2,2.2,2.2,nan,2.3,nan,2.2,2.4,2.5
Bahrain,BHR,0.4,0.8,0.4,0.7,0.4,0.5,1.1,0.9,0.5,0.3,0.4,0.5
Cyprus,CYP,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1,1
Georgia,GEO,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,nan,nan,nan,2.7
Iraq**,,nan,nan,nan,nan,nan,15.8,8.5,8.7,8.3,8.2,9.9,nan
Iraq (Central Iraq)**,,nan,nan,nan,nan,nan,17.9,9.6,9.7,9.3,9.2,11.1,10.1
Iraq (Kurdistan Region)**,,nan,nan,nan,nan,nan,3.3,2.2,3,2.5,2.1,2.2,nan
Israel,ISR,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2,2,1.7,nan,1.5
Jordan,JOR,nan,nan,1.2,1.7,1.8,1.8,1.5,1.6,1.9,2,1.7,2
Kuwait,KWT,1.3,1.9,1.8,1.9,2.4,1.4,1.7,2,1.8,1.8,nan,nan
Lebanon,LBN,nan,nan,nan,nan,nan,4.5,3.5,3.8,3.7,3.9,4.5,4.3
Oman,OMN,1.5,1.7,2.1,4.7,1.4,1.7,1.3,1.6,1.1,1.1,2.6,0.7
Qatar,QAT,nan,0.7,0.7,0.5,0.8,0.9,0.5,0.2,0.2,0.3,0.4,0.4
Saudi Arabia,SAU,1.1,1.3,1.2,1,1,nan,nan,nan,nan,nan,nan,nan
State of Palestine,,2.7,2.7,2.4,nan,nan,1.2,1.1,0.8,0.6,0.6,0.5,0.8
Syrian Arab Republic,,2.3,2.4,2.4,2.4,2.7,2.6,2.3,2.2,nan,nan,nan,nan
Turkey,TUR,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,nan,nan
United Arab Emirates,ARE,1.2,0.7,1.2,0.7,nan,nan,nan,0.8,0.6,0.8,0.6,0.7
Yemen,YEM,3.6,3.2,4.6,4.2,3.9,3.9,4.3,4.7,5.7,6.5,6.7,nan
Belarus,BLR,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6
Bulgaria,BGR,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6
Czechia,,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.8,0.8
Hungary,HUN,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5
Poland#,,1.7,1.6,1.4,1.3,1.4,1.2,1.3,1.1,1.2,1,0.8,0.7
Republic of Moldova,,7.6,6.6,7.1,6.3,5.3,5.7,6,6.5,7.5,5.6,4.2,3.2
Romania#,,2.5,2.4,2.1,2.1,2,2.3,1.9,2,1.7,1.9,1.7,1.5
Russian Federation##,,28.9,27.3,24.8,20.1,17.7,16.6,14.9,nan,nan,nan,11,11.3
Slovakia,SVK,2.5,2,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3
Ukraine,UKR,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,nan,5.2,nan,6.3
Channel Islands,,nan,nan,0.6,1.3,nan,0.6,nan, -   ,nan,nan,nan,nan
Denmark,DNK,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3
Estonia,EST,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1
Finland,FIN,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.6,1.6
Iceland,ISL, -   ,1,1, -   ,0.7, -   ,0.3,0.6,0.9,0.3,0.3,0.6
Ireland,IRL,0.9,0.7,1.2,1.4,1.8,1.1,1.2,1.1,0.9,1.1,1.1,1.1
Isle of Man,IMN,nan,nan,nan,nan,nan,nan,nan,nan,1.2,2.5,2.4,3.6
Latvia,LVA,8.8,7.9,5.6,5.8,4.3,4.6,5,3.3,3.3,3.4,2.5,3.2
Lithuania,LTU,10.1,10.1,11.1,8.7,8.5,9.3,8,7,6.9,6.7,6.6,5.4
Norway,NOR,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6
Sweden,SWE,0.9,1.2,0.9,1,1.2,0.9,1,1,0.9,0.7,0.9,0.9
United Kingdom (England and Wales),,1.5,1.5,1.3,1.3,1.3,1.2,1.1,1.1,0.9,1,0.9,0.9
United Kingdom (Northern Ireland),,2.5,2,1.8,1.7,1.6,1.3,1.6,1.3,1.2,1.2,1.1,0.9
United Kingdom (Scotland),,2.2,2.7,1.9,2.3,2.2,1.9,1.6,1.9,1.8,1.2,1.2,1.2
United Kingdom of Great Britain and Northern Ireland,,1.6,1.6,1.4,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9
Albania,ALB,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4
Andorra,AND,nan,1.3,nan,nan, -   ,1.2, -   , -   ,1.2, -   , -   , -   
Bosnia and Herzegovina,BIH,nan,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4
Croatia,HRV,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8
Gibraltar,GIB,nan,nan,nan,nan,nan,nan, -   ,3,nan,nan,nan,nan
Greece,GRC,1.1,1,1.2,1,1.1,1.3,1.3,1.5,1.6,1.5,1.4,0.9
Holy See,,nan,nan,nan,nan,nan,nan, -   , -   , -   , -   , -   , -   
Italy,ITA,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8
